                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4987,                 4.1168,                 7.2702,                 1.6076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.2363,                 2.9682,                 6.8997,                 2.0471,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.2971,                 3.5224,                 6.8972,                 1.5048,                0.00014,                0.03125,                0.00022,                  9e-05,                0.00014,                0.03125,                0.00022,                  4e-05,                 2.6689,                 2.1793,                 6.3443,                 1.8054,               0.086426,              0.0014257,              0.0014257
                      2,                 1.8598,                 2.2702,                 5.3165,                 1.3205,                0.55136,                0.03125,                0.00857,                0.00257,                0.55136,                0.03125,                0.00857,                0.00329,                 2.3174,                 1.8092,                 5.9426,                 1.7115,               0.079072,              0.0020723,              0.0020723
                      3,                 1.3527,                 1.5135,                  4.125,                 1.1306,                0.49084,                  0.125,                0.12436,                0.08684,                0.49084,                  0.125,                0.12436,                0.08696,                 2.4748,                 1.9804,                 5.6002,                 1.8061,                0.07164,              0.0026396,              0.0026396
                      4,                 1.0311,                 1.1535,                 2.8967,                 1.0031,                0.98817,                  0.125,                0.12415,                0.09914,                0.98817,                  0.125,                0.12415,                0.11155,                 2.0835,                 1.8211,                 4.5799,                  1.609,               0.064128,              0.0031278,              0.0031278
                      5,                0.94878,                 1.1522,                 2.3487,                0.94646,                0.73855,                  0.125,                0.12383,                0.09906,                0.73855,                  0.125,                0.12383,                0.08671,                 2.2382,                 1.8776,                 4.7491,                 1.7093,               0.056537,              0.0035367,              0.0035367
                      6,                0.87664,                 1.0478,                  2.213,                0.94314,                0.99179,                  0.125,                0.12837,                0.10154,                0.99179,                  0.125,                0.12837,                 0.1019,                 2.0643,                 1.8618,                 4.3168,                  1.522,               0.048867,              0.0038665,              0.0038665
                      7,                0.90389,                  1.094,                 2.3704,                0.90269,                0.96163,                0.15224,                0.18575,                0.14339,                0.96163,                0.15224,                0.18629,                0.09117,                 1.7292,                 1.6808,                 3.8059,                 1.3932,               0.041117,              0.0041171,              0.0041171
                      8,                 0.8611,                 1.1103,                 1.8459,                0.91051,                0.32406,                0.26667,                0.28675,                0.19368,                0.32406,                0.26667,                0.28675,                0.14307,                 1.5858,                 1.7393,                  3.895,                 1.3467,               0.033288,              0.0042884,              0.0042884
                      9,                0.80033,                  0.855,                 1.8516,                0.87289,                0.53354,                0.30739,                0.28331,                0.18081,                0.53354,                0.30739,                0.28331,                0.15246,                 1.6002,                 1.5492,                 3.9244,                 1.3866,               0.025381,              0.0043806,              0.0043806
                     10,                0.79368,                0.88981,                 1.9638,                0.92041,                0.46861,                0.33175,                0.34232,                0.24848,                0.46861,                0.33175,                0.34232,                0.21754,                 1.3342,                 1.3456,                 3.7026,                 1.1758,               0.017394,              0.0043935,              0.0043935
                     11,                 0.7853,                 1.1125,                 1.6827,                0.88335,                0.80393,                 0.3135,                0.35362,                0.24524,                0.80393,                 0.3135,                0.35291,                0.24511,                 1.3911,                 1.3458,                 3.4536,                 1.1991,              0.0093273,              0.0043273,              0.0043273
                     12,                0.76738,                0.92973,                 1.5692,                0.88463,                0.74762,                0.39375,                0.39455,                0.25997,                0.74762,                0.39375,                0.39455,                0.19401,                 1.3382,                 1.3959,                 3.0348,                 1.1929,                0.00406,                0.00406,                0.00406
                     13,                0.75239,                0.94246,                 1.5339,                0.88587,                0.64667,                 0.3125,                0.37583,                0.27901,                0.64667,                 0.3125,                0.37583,                0.22559,                 1.2079,                 1.4847,                 3.1529,                 1.1734,                0.00406,                0.00406,                0.00406
                     14,                0.73427,                 1.0291,                 1.2875,                0.90726,                0.54503,                0.36042,                0.39501,                 0.2784,                0.54503,                0.36042,                0.39501,                0.23624,                 1.3758,                 1.6237,                  3.532,                 1.2375,               0.003565,               0.003565,               0.003565
                     15,                0.77551,                0.94847,                 1.2189,                0.90217,                0.90459,                0.34375,                0.35304,                0.24264,                0.90459,                0.34375,                0.35061,                0.22917,                 1.4645,                 1.6271,                 3.6262,                 1.3084,                0.00307,                0.00307,                0.00307
                     16,                0.72025,                0.74285,                 1.1175,                0.86649,                0.84032,                0.39934,                0.43447,                0.30945,                0.84032,                0.39934,                0.43362,                0.25468,                 1.3279,                 1.4934,                 2.9561,                 1.1907,               0.002575,               0.002575,               0.002575
                     17,                0.72542,                 1.0055,                 1.0122,                0.85912,                0.39281,                  0.475,                0.45965,                0.33683,                0.39281,                  0.475,                0.45965,                0.27049,                 1.2868,                 1.5301,                 2.7522,                 1.1625,                0.00208,                0.00208,                0.00208
                     18,                0.72487,                0.80727,                 0.9896,                0.87648,                0.50641,                0.45625,                0.49148,                0.34675,                0.50641,                0.45625,                 0.4915,                0.29012,                 1.2771,                  1.503,                 2.6451,                 1.1667,               0.001585,               0.001585,               0.001585
                     19,                0.66942,                0.88514,                0.94736,                0.87907,                0.44486,                0.46469,                0.47867,                 0.3285,                0.44486,                0.46469,                0.47867,                0.28507,                 1.2864,                 1.4588,                 2.5959,                 1.1652,                0.00109,                0.00109,                0.00109
