                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1963,                 3.9259,                 6.4718,                 1.4279,                0.00248,                  0.125,                0.00505,                0.00253,                0.00248,                  0.125,                0.00751,                0.00479,                  3.037,                 2.8929,                 5.9343,                 1.9532,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.0065,                 3.2126,                 6.0005,                  1.408,                0.00133,                0.15833,                0.00357,                 0.0021,                0.00126,                0.14167,                0.00352,                0.00313,                 2.5157,                  2.478,                 5.5158,                 1.7966,               0.086463,              0.0014629,              0.0014629
                      2,                 1.4911,                 2.0946,                 4.2874,                 1.1987,                0.25226,                0.03333,                0.00848,                0.00504,                0.25226,                0.03333,                0.00848,                0.00702,                  2.245,                 1.9033,                 5.7156,                 1.7241,               0.079186,              0.0021861,              0.0021861
                      3,                 1.0923,                 1.4711,                 3.3204,                 1.0337,                0.06208,                0.15833,                0.03413,                0.02301,                0.06208,                0.15833,                0.03468,                0.02342,                 2.1829,                 1.7166,                 4.7527,                 1.6992,                0.07187,              0.0028698,              0.0028698
                      4,                0.86363,                 1.0657,                 2.4958,                0.95494,                 0.7192,                  0.125,                0.15326,                0.10814,                 0.7192,                  0.125,                  0.146,                0.11934,                  2.245,                 1.6421,                 4.4407,                 1.7255,               0.064514,              0.0035139,              0.0035139
                      5,                0.80236,                 1.0144,                 2.2788,                0.91358,                0.97765,                  0.125,                0.17719,                0.10704,                0.97765,                  0.125,                0.17696,                0.07243,                 3.0516,                 2.8312,                 4.8036,                 2.1255,               0.057118,              0.0041184,              0.0041184
                      6,                0.75211,                0.97322,                 2.1704,                 0.9196,                0.99893,                   0.25,                 0.2776,                 0.1491,                0.99893,                   0.25,                 0.2776,                0.13585,                  2.039,                  1.703,                 4.1254,                 1.5604,               0.049683,              0.0046832,              0.0046832
                      7,                0.81657,                 1.0501,                 2.3381,                0.87327,                0.85982,                0.34375,                0.31166,                 0.1709,                0.85982,                0.34375,                0.31156,                0.14039,                 1.6285,                  1.366,                 4.0983,                 1.3493,               0.042209,              0.0052085,              0.0052085
                      8,                0.77284,                 1.0659,                  1.992,                0.89022,                0.99354,                   0.25,                0.30001,                0.20206,                0.99354,                   0.25,                 0.3023,                0.15356,                 1.4886,                 1.3176,                 3.6304,                 1.2318,               0.034694,              0.0056942,              0.0056942
                      9,                0.74221,                0.78492,                 1.7419,                0.86416,                0.99241,                   0.25,                0.31715,                0.20256,                0.99241,                   0.25,                0.31328,                0.16626,                 1.5366,                 1.3762,                 3.5174,                 1.2321,                0.02714,              0.0061403,              0.0061403
                     10,                0.84614,                0.89303,                 1.7689,                0.88427,                 0.4867,                 0.3474,                0.33313,                0.26166,                 0.4867,                 0.3474,                0.33281,                0.23641,                 1.4596,                 1.4611,                 3.6621,                 1.2913,               0.019547,              0.0065467,              0.0065467
                     11,                0.96066,                0.92529,                 2.1488,                0.90663,                0.84063,                0.28125,                0.28393,                0.15636,                0.84063,                0.28125,                0.28315,                0.14435,                 1.6278,                 1.6857,                 4.3438,                 1.2998,               0.011914,              0.0069136,              0.0069136
                     12,                0.81668,                0.92511,                 2.0746,                0.89697,                0.96735,                   0.25,                0.29934,                0.16795,                0.96735,                   0.25,                0.29933,                0.16214,                 1.6193,                 1.5613,                 4.4167,                 1.2892,                0.00703,                0.00703,                0.00703
                     13,                0.78562,                0.71936,                 1.6458,                0.88851,                0.70274,                0.35649,                0.35222,                0.20035,                0.70274,                0.35649,                0.35222,                0.23232,                 1.9247,                 1.8288,                 3.6212,                 1.4788,                0.00703,                0.00703,                0.00703
                     14,                0.84155,                0.89797,                 1.5532,                0.90281,                0.58525,                0.36042,                0.38905,                0.24139,                0.58525,                0.36042,                0.38905,                 0.2738,                 1.6741,                 1.5185,                 2.9362,                 1.3806,              0.0067825,              0.0067825,              0.0067825
