                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1963,                 3.9259,                 6.4718,                 1.4279,                0.00248,                  0.125,                0.00505,                0.00253,                0.00248,                  0.125,                0.00751,                0.00479,                  3.037,                 2.8929,                 5.9343,                 1.9532,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.0198,                 3.2641,                 5.9642,                 1.4105,                0.00089,                  0.125,                0.00796,                0.00557,                0.00089,                  0.125,                0.00796,                0.00716,                 2.7413,                 2.1341,                 5.7408,                 1.8957,               0.086426,              0.0014257,              0.0014257
                      2,                  1.424,                 1.8646,                 4.0919,                 1.1674,                0.00481,                0.03333,                0.01764,                0.01139,                0.26754,                0.04792,                0.01972,                0.01435,                 2.2071,                 2.2319,                 5.3396,                 1.7162,               0.079072,              0.0020723,              0.0020723
                      3,                 1.0476,                 1.4213,                 3.2975,                 1.0129,                 0.0788,                  0.125,                 0.1254,                0.08743,                 0.0788,                  0.125,                 0.1254,                0.09985,                 2.7433,                  2.223,                 5.8463,                 2.0591,                0.07164,              0.0026396,              0.0026396
                      4,                0.85331,                 1.1037,                 2.3827,                0.95054,                0.70155,                  0.125,                0.12436,                 0.0992,                0.70155,                  0.125,                0.12534,                0.08696,                 2.8916,                 2.7512,                 5.4517,                 2.0266,               0.064128,              0.0031278,              0.0031278
                      5,                0.80979,                 1.0638,                  2.207,                0.92729,                0.96655,                  0.125,                0.13324,                0.10279,                0.96655,                  0.125,                0.13331,                0.07803,                 3.0121,                 2.7182,                 4.9536,                 1.9944,               0.056537,              0.0035367,              0.0035367
                      6,                0.75988,                0.97281,                 2.0473,                0.92628,                0.58643,                  0.125,                0.08568,                0.05286,                0.58643,                  0.125,                0.08568,                0.03316,                 2.4411,                 2.4512,                 4.6398,                 1.7919,               0.048867,              0.0038665,              0.0038665
                      7,                0.79401,                 1.0158,                 1.9125,                0.87922,                0.58457,                0.34375,                0.29341,                 0.1756,                0.58457,                0.34375,                0.29341,                0.12708,                 1.7223,                 1.5571,                 3.7447,                 1.3911,               0.041117,              0.0041171,              0.0041171
                      8,                0.78148,                 1.0428,                 1.6817,                0.90951,                0.86586,                0.31635,                0.29967,                0.17868,                0.86586,                0.31635,                0.29967,                0.15078,                 2.0097,                   1.74,                 3.7276,                 1.5542,               0.033288,              0.0042884,              0.0042884
                      9,                0.71647,                0.74557,                 1.7042,                0.86154,                0.54782,                 0.3125,                0.32584,                 0.2134,                0.54782,                 0.3125,                0.32573,                0.17883,                 1.6049,                 1.5459,                 3.7994,                 1.3292,               0.025381,              0.0043806,              0.0043806
                     10,                0.73417,                0.89517,                 1.6606,                0.92617,                0.59131,                 0.3125,                0.33971,                0.23353,                0.59131,                 0.3125,                0.33945,                0.20433,                 1.5173,                 1.4709,                 3.9525,                 1.2816,               0.017394,              0.0043935,              0.0043935
                     11,                0.70056,                 1.0289,                 1.6554,                0.86453,                  0.602,                 0.3413,                0.33696,                0.21799,                  0.602,                 0.3413,                0.33696,                0.18014,                 1.5172,                 1.4542,                 3.6014,                  1.272,              0.0093273,              0.0043273,              0.0043273
                     12,                0.67422,                0.92228,                 1.3635,                0.85838,                0.90266,                 0.3123,                0.32952,                0.21185,                0.90266,                 0.3123,                0.32952,                0.14465,                 1.3974,                 1.5768,                 3.4876,                 1.1736,                0.00406,                0.00406,                0.00406
                     13,                0.71416,                0.94402,                 1.1814,                0.85994,                 0.7503,                0.33903,                0.41751,                0.30184,                 0.7503,                0.33903,                0.42488,                0.27579,                  1.587,                 1.5829,                 3.6759,                 1.2558,                0.00406,                0.00406,                0.00406
                     14,                0.68254,                0.97032,                  1.059,                0.88281,                0.60664,                0.39173,                0.40676,                0.27327,                0.60664,                0.39173,                0.40676,                0.22236,                 1.4305,                 1.5548,                 3.2686,                 1.2158,               0.003565,               0.003565,               0.003565
                     15,                0.65847,                0.93123,                 1.0306,                0.87348,                0.68463,                0.34359,                0.39861,                0.27606,                0.68463,                0.34359,                0.39861,                0.23666,                 1.4468,                 1.3607,                 3.2458,                 1.2484,                0.00307,                0.00307,                0.00307
                     16,                0.60844,                0.69116,                0.93646,                0.83733,                0.64568,                0.36862,                 0.4083,                0.26815,                0.64568,                0.36862,                0.41179,                 0.2532,                 1.2721,                 1.4521,                 3.0862,                 1.1566,               0.002575,               0.002575,               0.002575
                     17,                0.66016,                0.97833,                0.87405,                0.84239,                0.60869,                0.40625,                0.43413,                0.29477,                0.60869,                0.40625,                0.43413,                0.27026,                  1.433,                 1.4936,                 3.0818,                 1.2547,                0.00208,                0.00208,                0.00208
                     18,                0.62745,                0.78106,                0.85626,                 0.8523,                 0.6273,                0.39955,                 0.4135,                0.28405,                 0.6273,                0.39955,                0.41262,                0.26032,                 1.5058,                 1.6814,                 3.2294,                 1.2743,               0.001585,               0.001585,               0.001585
                     19,                0.62416,                0.82227,                0.83499,                0.86218,                0.64601,                0.40507,                0.44003,                0.30441,                0.64601,                0.40507,                0.43955,                0.26805,                 1.3585,                 1.4089,                 3.0644,                 1.1893,                0.00109,                0.00109,                0.00109
