                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2964,                  4.158,                 5.4263,                 1.5046,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4857,                 4.7086,                 5.7342,                 2.1484,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.0649,                 2.9016,                 5.3947,                 1.4463,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3225,                 1.9858,                 5.2619,                 1.7379,               0.086426,              0.0014257,              0.0014257
                      2,                 1.5107,                 1.8176,                 4.9076,                 1.1945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.0503,                 1.5769,                 5.0305,                 1.5904,               0.079072,              0.0020723,              0.0020723
                      3,                 1.2241,                 1.4882,                 4.6944,                  1.056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1915,                 1.8353,                 5.1349,                 1.7824,                0.07164,              0.0026396,              0.0026396
                      4,                 1.0812,                 1.1842,                 4.4017,                 0.9725,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.7389,                 1.6347,                 4.8699,                 1.4908,               0.064128,              0.0031278,              0.0031278
                      5,                 1.0539,                 1.1417,                 4.1147,                0.92506,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.8733,                 1.9261,                 4.9811,                 1.5157,               0.056537,              0.0035367,              0.0035367
                      6,                 1.0713,                 1.1542,                 3.8372,                0.91431,                      0,                      0,                      0,                      0,                 0.0002,                  0.125,                0.00043,                0.00022,                 2.8417,                 2.4703,                 5.8416,                 2.1282,               0.048867,              0.0038665,              0.0038665
                      7,                 1.1735,                 1.2003,                 3.5671,                0.91019,                      0,                      0,                      0,                      0,                 0.0002,                  0.125,                0.00543,                0.00163,                 2.4222,                 2.0699,                 5.2153,                 1.8226,               0.041117,              0.0041171,              0.0041171
                      8,                 1.0867,                 1.1617,                 3.3919,                0.92723,                      0,                      0,                      0,                      0,                 0.0002,                  0.125,                0.00274,                0.00027,                 2.2165,                 2.9643,                 5.2021,                 1.7383,               0.033288,              0.0042884,              0.0042884
                      9,                 1.0435,                0.89789,                 3.0309,                0.89111,                 0.0002,                  0.125,                0.00041,                0.00025,                 0.0002,                  0.125,                0.00041,                0.00025,                 3.4599,                 6.7316,                 5.9005,                 2.4229,               0.025381,              0.0043806,              0.0043806
                     10,                0.96365,                0.95135,                 3.1395,                0.92805,                0.00082,                 0.3125,                 0.2552,                0.17862,                0.00082,                 0.3125,                 0.2552,                0.21096,                  2.053,                 2.8562,                 4.5392,                 1.5179,               0.017394,              0.0043935,              0.0043935
                     11,                0.97774,                 1.2066,                 2.9413,                 0.9162,                0.28947,                0.28125,                0.27719,                0.23129,                0.28947,                0.28125,                0.27719,                 0.1834,                 1.5756,                 2.4297,                 4.3289,                 1.2712,              0.0093273,              0.0043273,              0.0043273
                     12,                0.92325,                 1.0842,                 2.9867,                0.90268,                0.09111,                0.28125,                0.26502,                0.18681,                0.09111,                0.28125,                0.26502,                0.13717,                 1.6761,                 2.5351,                 4.4048,                 1.3424,                0.00406,                0.00406,                0.00406
                     13,                0.86999,                 1.1011,                   2.65,                0.88969,                0.00125,                0.34583,                0.25741,                0.18065,                0.00125,                0.34583,                0.25741,                0.15589,                 1.5405,                 2.5683,                 4.3162,                 1.2938,                0.00406,                0.00406,                0.00406
                     14,                0.87562,                 1.0723,                 2.6538,                0.91945,                0.24934,                0.28125,                0.29204,                0.18814,                0.24934,                0.28125,                0.29186,                0.15631,                 1.2036,                 2.2971,                 3.8857,                 1.1408,               0.003565,               0.003565,               0.003565
                     15,                0.83462,                 1.1968,                 2.7452,                0.89719,                0.39144,                0.22618,                0.29203,                0.21807,                0.39144,                0.22618,                0.29203,                0.21438,                 1.2532,                 2.0574,                 3.9835,                 1.1734,                0.00307,                0.00307,                0.00307
                     16,                0.84434,                0.85337,                 2.5804,                0.87646,                0.09887,                0.36458,                 0.2839,                0.19887,                0.09887,                0.36458,                0.28305,                0.18271,                 1.3774,                 1.9287,                 3.9268,                 1.2013,               0.002575,               0.002575,               0.002575
                     17,                 0.8227,                 1.1105,                 2.5546,                0.86718,                 0.4153,                0.29272,                  0.298,                0.20946,                 0.4153,                0.29272,                0.29716,                0.17875,                 1.2927,                 1.7246,                 3.8153,                 1.1455,                0.00208,                0.00208,                0.00208
                     18,                0.81421,                0.88863,                 2.4111,                0.88198,                0.25857,                0.35018,                0.31446,                 0.2303,                0.25857,                0.35018,                0.31418,                0.23721,                 1.2214,                 1.5741,                 3.6181,                 1.0962,               0.001585,               0.001585,               0.001585
                     19,                0.81024,                0.94138,                  2.361,                0.89602,                0.38105,                0.38155,                0.35063,                0.24973,                0.39357,                0.37914,                0.35063,                0.26645,                 1.2087,                 1.4702,                  3.499,                 1.0765,                0.00109,                0.00109,                0.00109
